"common_name","sp_id","sample_size","pch_scale","ebird_code","ebirdst_association_forest","ebirdst_association_grassland","City","Sample","UAI","SD","scale_UAI","scale_eaforest","scale_eagrassland"
"Acadian Flycatcher",1,48,4.37120101090789,"acafly",0.416986428062597,0.0919052324113029,"Charlotte_US",2179,1.601909893,1.259270373,-0.341682317797999,2.91301996627708,-1.50607313700663
"American Crow",2,118,5.27068462446567,"amecro",0.128250948052969,0.147234372257411,"Charlotte_US",36767,1.827793549,1.196459017,0.211590035151218,-0.264117086458929,-0.163037467598479
"American Goldfinch",3,81,4.89444915467244,"amegfi",0.120850256404915,0.168339778853184,"Charlotte_US",30143,1.913136425,1.141502312,0.420626202920582,-0.345551524824876,0.349266066386044
"American Robin",4,75,4.81748811353631,"amerob",0.117677890347459,0.145016234829709,"Charlotte_US",34340,2.264461791,1.122981954,1.28115155185315,-0.380459052454142,-0.216879578524818
"Barn Swallow",5,41,4.21357206670431,"barswa",0.0735951305721456,0.214169576455872,"Charlotte_US",6113,1.829232913,1.256184549,0.215115568255882,-0.865529226248988,1.46171880057572
"Black-and-white Warbler",6,10,2.80258509299405,"bawwar",0.260590926899908,0.120727184408132,"Charlotte_US",3436,1.876645975,1.360710414,0.331247637471492,1.19210246210119,-0.806461509184914
"Blue Grosbeak",7,84,4.93081679884331,"blugrb1",0.0613290319287356,0.231235493628838,"Charlotte_US",3761,1.118124764,1.09791903,-1.52665046194593,-1.00050078045907,1.87596951110923
"Blue Jay",8,89,4.98863636973214,"blujay",0.137478732576522,0.144285084636364,"Charlotte_US",33288,1.786477147,1.168971131,0.110390934008922,-0.162578002576801,-0.234627202870474
"Blue-gray Gnatcatcher",9,110,5.20048036579242,"buggna",0.117788815581208,0.178212449428024,"Charlotte_US",11002,1.776286608,1.254872576,0.0854305469220806,-0.37923847273801,0.588911012452543
"Brown Thrasher",10,65,4.67438726989564,"brnthr",0.112891087714458,0.135847267689961,"Charlotte_US",20664,2.167179486,1.141510695,1.04287132060139,-0.433131235342559,-0.439443131013858
"Brown-headed Cowbird",11,73,4.79045944114839,"bnhcow",0.0848571215695181,0.207755066733378,"Charlotte_US",12098,1.917314834,1.205358735,0.430860667068861,-0.741606496405956,1.30601575904939
"Brown-headed Nuthatch",12,44,4.28418963391826,"bnhnut",0.135002957082975,0.12153821285406,"Charlotte_US",19088,2.020540387,1.125093186,0.68369810384558,-0.1898205086053,-0.786774954598749
"Carolina Chickadee",13,103,5.13472898822964,"carchi",0.0890181060354387,0.233806158927839,"Charlotte_US",50841,1.913244447,1.13737001,0.420890788624429,-0.695820582177145,1.93836873148878
"Carolina Wren",14,120,5.28749174278205,"carwre",0.0903980845568188,0.191892974735098,"Charlotte_US",51661,1.975662648,1.163896817,0.5737759753868,-0.680635815510747,0.920986181427606
"Chimney Swift",15,69,4.73410650459726,"chiswi",0.116331542360139,0.142329025695496,"Charlotte_US",9611,2.144786672,1.196866644,0.98802306327137,-0.395273761322787,-0.282107733678603
"Chipping Sparrow",16,116,5.25359019110636,"chispa",0.116513470394303,0.156604281037736,"Charlotte_US",19162,1.6674344,1.185698618,-0.181188642400221,-0.393271893390745,0.0644036555796215
"Common Grackle",17,63,4.64313472639153,"comgra",0.115570064379659,0.15439065136295,"Charlotte_US",16147,2.295524964,1.167889602,1.35723671498589,-0.403652779746657,0.0106709639027406
"Common Yellowthroat",18,50,4.41202300542815,"comyel",0.112590352594468,0.125340736265273,"Charlotte_US",6676,1.71276152,1.2568525,-0.0701658141934226,-0.4364404119382,-0.694474141876503
"Downy Woodpecker",19,70,4.74849524204936,"dowwoo",0.103232013060844,0.165359911798234,"Charlotte_US",33404,2.003607264,1.140305475,0.642222642668396,-0.539416074241183,0.276934059128687
"Eastern Bluebird",20,104,5.14439089914137,"easblu",0.122930584707877,0.131921297196562,"Charlotte_US",36429,1.908389189,1.152707311,0.408998471732606,-0.322660371534759,-0.534740444949051
"Eastern Kingbird",21,31,3.93398720448515,"easkin",0.100694695998708,0.151910489560437,"Charlotte_US",4543,1.525615366,1.222682117,-0.528555742896261,-0.56733576063505,-0.0495314136499052
"Eastern Meadowlark",22,45,4.30666248977032,"easmea",0.0900099718000044,0.216360109530507,"Charlotte_US",5002,1.140157102,1.203298346,-1.47268514324119,-0.684906462887625,1.51489085534534
"Eastern Phoebe",23,62,4.62713438504509,"easpho",0.140775124036128,0.13499841578731,"Charlotte_US",22941,1.993141684,1.22431473,0.616588578769685,-0.126305745886049,-0.460047795869957
"Eastern Towhee",24,89,4.98863636973214,"eastow",0.179763108598074,0.104999863548021,"Charlotte_US",26706,2.058724155,1.19326501,0.777224229373791,0.302703430122135,-1.18821971034447
